method,alpha,coverage,dgp,statistic,n,B,repetitions
ci_quant_nonparam,0.975,0.9962,DGPExp_1,median,8,100,10000
maritz-jarrett,0.975,0.9569,DGPExp_1,median,8,100,10000
percentile,0.025,0.102,DGPExp_1,median,16,10,10000
basic,0.025,0.1197,DGPExp_1,median,16,10,10000
bca,0.025,0.111,DGPExp_1,median,16,10,10000
bc,0.025,0.111,DGPExp_1,median,16,10,10000
standard,0.025,0.0538,DGPExp_1,median,16,10,10000
smoothed,0.025,0.1039,DGPExp_1,median,16,10,10000
double,0.025,0.1239,DGPExp_1,median,16,10,10000
studentized,0.025,0.1038,DGPExp_1,median,16,10,10000
wilcoxon,0.025,0.0847,DGPExp_1,median,16,10,10000
ci_quant_param,0.025,0.0426,DGPExp_1,median,16,10,10000
ci_quant_nonparam,0.025,0.0397,DGPExp_1,median,16,10,10000
maritz-jarrett,0.025,0.0142,DGPExp_1,median,16,10,10000
percentile,0.05,0.102,DGPExp_1,median,16,10,10000
basic,0.05,0.1197,DGPExp_1,median,16,10,10000
bca,0.05,0.1232,DGPExp_1,median,16,10,10000
bc,0.05,0.1232,DGPExp_1,median,16,10,10000
standard,0.05,0.0811,DGPExp_1,median,16,10,10000
smoothed,0.05,0.1039,DGPExp_1,median,16,10,10000
double,0.05,0.1239,DGPExp_1,median,16,10,10000
studentized,0.05,0.1038,DGPExp_1,median,16,10,10000
wilcoxon,0.05,0.1558,DGPExp_1,median,16,10,10000
ci_quant_param,0.05,0.0728,DGPExp_1,median,16,10,10000
ci_quant_nonparam,0.05,0.1073,DGPExp_1,median,16,10,10000
maritz-jarrett,0.05,0.0339,DGPExp_1,median,16,10,10000
percentile,0.25,0.2742,DGPExp_1,median,16,10,10000
basic,0.25,0.2731,DGPExp_1,median,16,10,10000
bca,0.25,0.2295,DGPExp_1,median,16,10,10000
bc,0.25,0.2295,DGPExp_1,median,16,10,10000
standard,0.25,0.2702,DGPExp_1,median,16,10,10000
smoothed,0.25,0.2953,DGPExp_1,median,16,10,10000
double,0.25,0.2471,DGPExp_1,median,16,10,10000
studentized,0.25,0.264,DGPExp_1,median,16,10,10000
wilcoxon,0.25,0.5117,DGPExp_1,median,16,10,10000
ci_quant_param,0.25,0.2627,DGPExp_1,median,16,10,10000
ci_quant_nonparam,0.25,0.4029,DGPExp_1,median,16,10,10000
maritz-jarrett,0.25,0.2281,DGPExp_1,median,16,10,10000
percentile,0.75,0.7458,DGPExp_1,median,16,10,10000
basic,0.75,0.6794,DGPExp_1,median,16,10,10000
bca,0.75,0.6704,DGPExp_1,median,16,10,10000
bc,0.75,0.6704,DGPExp_1,median,16,10,10000
standard,0.75,0.7347,DGPExp_1,median,16,10,10000
smoothed,0.75,0.7426,DGPExp_1,median,16,10,10000
double,0.75,0.7349,DGPExp_1,median,16,10,10000
studentized,0.75,0.6906,DGPExp_1,median,16,10,10000
wilcoxon,0.75,0.8938,DGPExp_1,median,16,10,10000
ci_quant_param,0.75,0.745,DGPExp_1,median,16,10,10000
ci_quant_nonparam,0.75,0.7729,DGPExp_1,median,16,10,10000
maritz-jarrett,0.75,0.7647,DGPExp_1,median,16,10,10000
percentile,0.95,0.9058,DGPExp_1,median,16,10,10000
basic,0.95,0.805,DGPExp_1,median,16,10,10000
bca,0.95,0.8434,DGPExp_1,median,16,10,10000
bc,0.95,0.8434,DGPExp_1,median,16,10,10000
standard,0.95,0.8925,DGPExp_1,median,16,10,10000
smoothed,0.95,0.9062,DGPExp_1,median,16,10,10000
double,0.95,0.8757,DGPExp_1,median,16,10,10000
studentized,0.95,0.8571,DGPExp_1,median,16,10,10000
wilcoxon,0.95,0.985,DGPExp_1,median,16,10,10000
ci_quant_param,0.95,0.9329,DGPExp_1,median,16,10,10000
ci_quant_nonparam,0.95,0.9618,DGPExp_1,median,16,10,10000
maritz-jarrett,0.95,0.9292,DGPExp_1,median,16,10,10000
percentile,0.975,0.9058,DGPExp_1,median,16,10,10000
basic,0.975,0.805,DGPExp_1,median,16,10,10000
bca,0.975,0.8685,DGPExp_1,median,16,10,10000
bc,0.975,0.8685,DGPExp_1,median,16,10,10000
standard,0.975,0.9204,DGPExp_1,median,16,10,10000
smoothed,0.975,0.9062,DGPExp_1,median,16,10,10000
double,0.975,0.8757,DGPExp_1,median,16,10,10000
studentized,0.975,0.8571,DGPExp_1,median,16,10,10000
wilcoxon,0.975,0.9935,DGPExp_1,median,16,10,10000
ci_quant_param,0.975,0.959,DGPExp_1,median,16,10,10000
ci_quant_nonparam,0.975,0.9902,DGPExp_1,median,16,10,10000
maritz-jarrett,0.975,0.9549,DGPExp_1,median,16,10,10000
percentile,0.025,0.0002,DGPNorm_0_1,percentile_95,4,1000,10000
basic,0.025,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
bca,0.025,0.0002,DGPNorm_0_1,percentile_95,4,1000,10000
bc,0.025,0.0001,DGPNorm_0_1,percentile_95,4,1000,10000
standard,0.025,0.0017,DGPNorm_0_1,percentile_95,4,1000,10000
smoothed,0.025,0.0002,DGPNorm_0_1,percentile_95,4,1000,10000
double,0.025,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
studentized,0.025,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
ci_quant_param,0.025,0.0059,DGPNorm_0_1,percentile_95,4,1000,10000
ci_quant_nonparam,0.025,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
maritz-jarrett,0.025,0.0,DGPNorm_0_1,percentile_95,4,1000,10000
percentile,0.05,0.0009,DGPNorm_0_1,percentile_95,4,1000,10000
basic,0.05,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
bca,0.05,0.0002,DGPNorm_0_1,percentile_95,4,1000,10000
bc,0.05,0.0001,DGPNorm_0_1,percentile_95,4,1000,10000
standard,0.05,0.0054,DGPNorm_0_1,percentile_95,4,1000,10000
smoothed,0.05,0.0004,DGPNorm_0_1,percentile_95,4,1000,10000
double,0.05,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
studentized,0.05,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
ci_quant_param,0.05,0.0133,DGPNorm_0_1,percentile_95,4,1000,10000
ci_quant_nonparam,0.05,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
maritz-jarrett,0.05,0.0,DGPNorm_0_1,percentile_95,4,1000,10000
percentile,0.25,0.0151,DGPNorm_0_1,percentile_95,4,1000,10000
basic,0.25,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
bca,0.25,0.009,DGPNorm_0_1,percentile_95,4,1000,10000
bc,0.25,0.0017,DGPNorm_0_1,percentile_95,4,1000,10000
standard,0.25,0.065,DGPNorm_0_1,percentile_95,4,1000,10000
smoothed,0.25,0.0299,DGPNorm_0_1,percentile_95,4,1000,10000
double,0.25,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
studentized,0.25,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
ci_quant_param,0.25,0.0831,DGPNorm_0_1,percentile_95,4,1000,10000
ci_quant_nonparam,0.25,0.0,DGPNorm_0_1,percentile_95,4,1000,10000
maritz-jarrett,0.25,0.0,DGPNorm_0_1,percentile_95,4,1000,10000
percentile,0.75,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
basic,0.75,0.4832,DGPNorm_0_1,percentile_95,4,1000,10000
bca,0.75,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
bc,0.75,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
standard,0.75,0.3301,DGPNorm_0_1,percentile_95,4,1000,10000
smoothed,0.75,0.2632,DGPNorm_0_1,percentile_95,4,1000,10000
double,0.75,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
studentized,0.75,0.5677,DGPNorm_0_1,percentile_95,4,1000,10000
ci_quant_param,0.75,0.5002,DGPNorm_0_1,percentile_95,4,1000,10000
ci_quant_nonparam,0.75,0.0,DGPNorm_0_1,percentile_95,4,1000,10000
maritz-jarrett,0.75,0.0,DGPNorm_0_1,percentile_95,4,1000,10000
percentile,0.95,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
basic,0.95,0.6644,DGPNorm_0_1,percentile_95,4,1000,10000
bca,0.95,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
bc,0.95,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
standard,0.95,0.5035,DGPNorm_0_1,percentile_95,4,1000,10000
smoothed,0.95,0.3947,DGPNorm_0_1,percentile_95,4,1000,10000
double,0.95,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
studentized,0.95,0.8517,DGPNorm_0_1,percentile_95,4,1000,10000
ci_quant_param,0.95,0.8607,DGPNorm_0_1,percentile_95,4,1000,10000
ci_quant_nonparam,0.95,0.0,DGPNorm_0_1,percentile_95,4,1000,10000
maritz-jarrett,0.95,0.0,DGPNorm_0_1,percentile_95,4,1000,10000
percentile,0.975,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
basic,0.975,0.6738,DGPNorm_0_1,percentile_95,4,1000,10000
bca,0.975,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
bc,0.975,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
standard,0.975,0.55,DGPNorm_0_1,percentile_95,4,1000,10000
smoothed,0.975,0.429,DGPNorm_0_1,percentile_95,4,1000,10000
double,0.975,0.1824,DGPNorm_0_1,percentile_95,4,1000,10000
studentized,0.975,0.9078,DGPNorm_0_1,percentile_95,4,1000,10000
ci_quant_param,0.975,0.9254,DGPNorm_0_1,percentile_95,4,1000,10000
ci_quant_nonparam,0.975,0.0,DGPNorm_0_1,percentile_95,4,1000,10000
maritz-jarrett,0.975,0.0,DGPNorm_0_1,percentile_95,4,1000,10000
percentile,0.025,0.0359,DGPExp_1,median,16,100,10000
basic,0.025,0.0591,DGPExp_1,median,16,100,10000
bca,0.025,0.0255,DGPExp_1,median,16,100,10000
bc,0.025,0.0255,DGPExp_1,median,16,100,10000
standard,0.025,0.0306,DGPExp_1,median,16,100,10000
smoothed,0.025,0.0336,DGPExp_1,median,16,100,10000
double,0.025,0.0261,DGPExp_1,median,16,100,10000
studentized,0.025,0.0372,DGPExp_1,median,16,100,10000
wilcoxon,0.025,0.0832,DGPExp_1,median,16,100,10000
ci_quant_param,0.025,0.0426,DGPExp_1,median,16,100,10000
ci_quant_nonparam,0.025,0.0407,DGPExp_1,median,16,100,10000
maritz-jarrett,0.025,0.0159,DGPExp_1,median,16,100,10000
percentile,0.05,0.0623,DGPExp_1,median,16,100,10000
basic,0.05,0.0896,DGPExp_1,median,16,100,10000
bca,0.05,0.0413,DGPExp_1,median,16,100,10000
bc,0.05,0.0413,DGPExp_1,median,16,100,10000
standard,0.05,0.0525,DGPExp_1,median,16,100,10000
smoothed,0.05,0.0619,DGPExp_1,median,16,100,10000
double,0.05,0.0492,DGPExp_1,median,16,100,10000
studentized,0.05,0.0699,DGPExp_1,median,16,100,10000
wilcoxon,0.05,0.1575,DGPExp_1,median,16,100,10000
ci_quant_param,0.05,0.0721,DGPExp_1,median,16,100,10000
ci_quant_nonparam,0.05,0.1109,DGPExp_1,median,16,100,10000
maritz-jarrett,0.05,0.034,DGPExp_1,median,16,100,10000
percentile,0.25,0.2674,DGPExp_1,median,16,100,10000
basic,0.25,0.2742,DGPExp_1,median,16,100,10000
bca,0.25,0.2051,DGPExp_1,median,16,100,10000
bc,0.25,0.2051,DGPExp_1,median,16,100,10000
standard,0.25,0.2524,DGPExp_1,median,16,100,10000
smoothed,0.25,0.2793,DGPExp_1,median,16,100,10000
double,0.25,0.2463,DGPExp_1,median,16,100,10000
studentized,0.25,0.2695,DGPExp_1,median,16,100,10000
wilcoxon,0.25,0.5089,DGPExp_1,median,16,100,10000
ci_quant_param,0.25,0.2659,DGPExp_1,median,16,100,10000
ci_quant_nonparam,0.25,0.4024,DGPExp_1,median,16,100,10000
maritz-jarrett,0.25,0.2339,DGPExp_1,median,16,100,10000
percentile,0.75,0.7497,DGPExp_1,median,16,100,10000
basic,0.75,0.6904,DGPExp_1,median,16,100,10000
bca,0.75,0.6803,DGPExp_1,median,16,100,10000
bc,0.75,0.6803,DGPExp_1,median,16,100,10000
standard,0.75,0.7586,DGPExp_1,median,16,100,10000
smoothed,0.75,0.7576,DGPExp_1,median,16,100,10000
double,0.75,0.7281,DGPExp_1,median,16,100,10000
studentized,0.75,0.6894,DGPExp_1,median,16,100,10000
wilcoxon,0.75,0.8964,DGPExp_1,median,16,100,10000
ci_quant_param,0.75,0.7508,DGPExp_1,median,16,100,10000
ci_quant_nonparam,0.75,0.7751,DGPExp_1,median,16,100,10000
maritz-jarrett,0.75,0.7661,DGPExp_1,median,16,100,10000
percentile,0.95,0.9448,DGPExp_1,median,16,100,10000
basic,0.95,0.8279,DGPExp_1,median,16,100,10000
bca,0.95,0.9131,DGPExp_1,median,16,100,10000
bc,0.95,0.9131,DGPExp_1,median,16,100,10000
standard,0.95,0.9299,DGPExp_1,median,16,100,10000
smoothed,0.95,0.9472,DGPExp_1,median,16,100,10000
double,0.95,0.9464,DGPExp_1,median,16,100,10000
studentized,0.95,0.8779,DGPExp_1,median,16,100,10000
wilcoxon,0.95,0.9847,DGPExp_1,median,16,100,10000
ci_quant_param,0.95,0.9361,DGPExp_1,median,16,100,10000
ci_quant_nonparam,0.95,0.9621,DGPExp_1,median,16,100,10000
maritz-jarrett,0.95,0.9334,DGPExp_1,median,16,100,10000
percentile,0.975,0.9704,DGPExp_1,median,16,100,10000
basic,0.975,0.8532,DGPExp_1,median,16,100,10000
bca,0.975,0.9523,DGPExp_1,median,16,100,10000
bc,0.975,0.9523,DGPExp_1,median,16,100,10000
standard,0.975,0.9514,DGPExp_1,median,16,100,10000
smoothed,0.975,0.972,DGPExp_1,median,16,100,10000
double,0.975,0.9724,DGPExp_1,median,16,100,10000
studentized,0.975,0.9254,DGPExp_1,median,16,100,10000
wilcoxon,0.975,0.9924,DGPExp_1,median,16,100,10000
ci_quant_param,0.975,0.9615,DGPExp_1,median,16,100,10000
ci_quant_nonparam,0.975,0.989,DGPExp_1,median,16,100,10000
maritz-jarrett,0.975,0.9561,DGPExp_1,median,16,100,10000
percentile,0.025,0.0995,DGPExp_1,median,32,10,10000
basic,0.025,0.1175,DGPExp_1,median,32,10,10000
bca,0.025,0.1126,DGPExp_1,median,32,10,10000
bc,0.025,0.1126,DGPExp_1,median,32,10,10000
standard,0.025,0.0551,DGPExp_1,median,32,10,10000
smoothed,0.025,0.0993,DGPExp_1,median,32,10,10000
double,0.025,0.123,DGPExp_1,median,32,10,10000
studentized,0.025,0.1045,DGPExp_1,median,32,10,10000
wilcoxon,0.025,0.1489,DGPExp_1,median,32,10,10000
ci_quant_param,0.025,0.035,DGPExp_1,median,32,10,10000
ci_quant_nonparam,0.025,0.026,DGPExp_1,median,32,10,10000
maritz-jarrett,0.025,0.0195,DGPExp_1,median,32,10,10000
percentile,0.05,0.0995,DGPExp_1,median,32,10,10000
basic,0.05,0.1175,DGPExp_1,median,32,10,10000
bca,0.05,0.1278,DGPExp_1,median,32,10,10000
bc,0.05,0.1278,DGPExp_1,median,32,10,10000
standard,0.05,0.0799,DGPExp_1,median,32,10,10000
smoothed,0.05,0.0993,DGPExp_1,median,32,10,10000
double,0.05,0.123,DGPExp_1,median,32,10,10000
studentized,0.05,0.1045,DGPExp_1,median,32,10,10000
wilcoxon,0.05,0.2375,DGPExp_1,median,32,10,10000
ci_quant_param,0.05,0.0622,DGPExp_1,median,32,10,10000
ci_quant_nonparam,0.05,0.0592,DGPExp_1,median,32,10,10000
maritz-jarrett,0.05,0.0379,DGPExp_1,median,32,10,10000
percentile,0.25,0.2696,DGPExp_1,median,32,10,10000
basic,0.25,0.2786,DGPExp_1,median,32,10,10000
bca,0.25,0.242,DGPExp_1,median,32,10,10000
bc,0.25,0.242,DGPExp_1,median,32,10,10000
standard,0.25,0.2651,DGPExp_1,median,32,10,10000
smoothed,0.25,0.2789,DGPExp_1,median,32,10,10000
double,0.25,0.2559,DGPExp_1,median,32,10,10000
studentized,0.25,0.2679,DGPExp_1,median,32,10,10000
wilcoxon,0.25,0.5952,DGPExp_1,median,32,10,10000
ci_quant_param,0.25,0.2507,DGPExp_1,median,32,10,10000
ci_quant_nonparam,0.25,0.2996,DGPExp_1,median,32,10,10000
maritz-jarrett,0.25,0.2339,DGPExp_1,median,32,10,10000
percentile,0.75,0.7376,DGPExp_1,median,32,10,10000
basic,0.75,0.6841,DGPExp_1,median,32,10,10000
bca,0.75,0.6793,DGPExp_1,median,32,10,10000
bc,0.75,0.6793,DGPExp_1,median,32,10,10000
standard,0.75,0.7227,DGPExp_1,median,32,10,10000
smoothed,0.75,0.7354,DGPExp_1,median,32,10,10000
double,0.75,0.7273,DGPExp_1,median,32,10,10000
studentized,0.75,0.6927,DGPExp_1,median,32,10,10000
wilcoxon,0.75,0.9355,DGPExp_1,median,32,10,10000
ci_quant_param,0.75,0.747,DGPExp_1,median,32,10,10000
ci_quant_nonparam,0.75,0.8109,DGPExp_1,median,32,10,10000
maritz-jarrett,0.75,0.7487,DGPExp_1,median,32,10,10000
percentile,0.95,0.9037,DGPExp_1,median,32,10,10000
basic,0.95,0.8224,DGPExp_1,median,32,10,10000
bca,0.95,0.8507,DGPExp_1,median,32,10,10000
bc,0.95,0.8507,DGPExp_1,median,32,10,10000
standard,0.95,0.8947,DGPExp_1,median,32,10,10000
smoothed,0.95,0.9036,DGPExp_1,median,32,10,10000
double,0.95,0.8721,DGPExp_1,median,32,10,10000
studentized,0.95,0.86,DGPExp_1,median,32,10,10000
wilcoxon,0.95,0.9921,DGPExp_1,median,32,10,10000
ci_quant_param,0.95,0.9406,DGPExp_1,median,32,10,10000
ci_quant_nonparam,0.95,0.9746,DGPExp_1,median,32,10,10000
maritz-jarrett,0.95,0.9286,DGPExp_1,median,32,10,10000
percentile,0.975,0.9037,DGPExp_1,median,32,10,10000
basic,0.975,0.8224,DGPExp_1,median,32,10,10000
bca,0.975,0.8729,DGPExp_1,median,32,10,10000
bc,0.975,0.8729,DGPExp_1,median,32,10,10000
standard,0.975,0.9225,DGPExp_1,median,32,10,10000
smoothed,0.975,0.9036,DGPExp_1,median,32,10,10000
double,0.975,0.8721,DGPExp_1,median,32,10,10000
studentized,0.975,0.86,DGPExp_1,median,32,10,10000
wilcoxon,0.975,0.9972,DGPExp_1,median,32,10,10000
ci_quant_param,0.975,0.9675,DGPExp_1,median,32,10,10000
ci_quant_nonparam,0.975,0.9892,DGPExp_1,median,32,10,10000
maritz-jarrett,0.975,0.9551,DGPExp_1,median,32,10,10000
percentile,0.025,0.0311,DGPExp_1,median,32,100,10000
basic,0.025,0.0522,DGPExp_1,median,32,100,10000
bca,0.025,0.0247,DGPExp_1,median,32,100,10000
bc,0.025,0.0247,DGPExp_1,median,32,100,10000
standard,0.025,0.0266,DGPExp_1,median,32,100,10000
smoothed,0.025,0.0289,DGPExp_1,median,32,100,10000
double,0.025,0.0262,DGPExp_1,median,32,100,10000
studentized,0.025,0.0382,DGPExp_1,median,32,100,10000
wilcoxon,0.025,0.1491,DGPExp_1,median,32,100,10000
ci_quant_param,0.025,0.0362,DGPExp_1,median,32,100,10000
ci_quant_nonparam,0.025,0.0274,DGPExp_1,median,32,100,10000
maritz-jarrett,0.025,0.0179,DGPExp_1,median,32,100,10000
percentile,0.05,0.0572,DGPExp_1,median,32,100,10000
basic,0.05,0.0814,DGPExp_1,median,32,100,10000
bca,0.05,0.0458,DGPExp_1,median,32,100,10000
bc,0.05,0.0458,DGPExp_1,median,32,100,10000
standard,0.05,0.0525,DGPExp_1,median,32,100,10000
smoothed,0.05,0.0552,DGPExp_1,median,32,100,10000
double,0.05,0.0479,DGPExp_1,median,32,100,10000
studentized,0.05,0.069,DGPExp_1,median,32,100,10000
wilcoxon,0.05,0.2374,DGPExp_1,median,32,100,10000
ci_quant_param,0.05,0.0617,DGPExp_1,median,32,100,10000
ci_quant_nonparam,0.05,0.0573,DGPExp_1,median,32,100,10000
maritz-jarrett,0.05,0.0384,DGPExp_1,median,32,100,10000
percentile,0.25,0.2569,DGPExp_1,median,32,100,10000
basic,0.25,0.2688,DGPExp_1,median,32,100,10000
bca,0.25,0.2162,DGPExp_1,median,32,100,10000
bc,0.25,0.2162,DGPExp_1,median,32,100,10000
standard,0.25,0.2504,DGPExp_1,median,32,100,10000
smoothed,0.25,0.2676,DGPExp_1,median,32,100,10000
double,0.25,0.242,DGPExp_1,median,32,100,10000
studentized,0.25,0.2682,DGPExp_1,median,32,100,10000
wilcoxon,0.25,0.5942,DGPExp_1,median,32,100,10000
ci_quant_param,0.25,0.2591,DGPExp_1,median,32,100,10000
ci_quant_nonparam,0.25,0.2987,DGPExp_1,median,32,100,10000
maritz-jarrett,0.25,0.2401,DGPExp_1,median,32,100,10000
percentile,0.75,0.7472,DGPExp_1,median,32,100,10000
basic,0.75,0.694,DGPExp_1,median,32,100,10000
bca,0.75,0.6943,DGPExp_1,median,32,100,10000
bc,0.75,0.6943,DGPExp_1,median,32,100,10000
standard,0.75,0.7462,DGPExp_1,median,32,100,10000
smoothed,0.75,0.7486,DGPExp_1,median,32,100,10000
double,0.75,0.7323,DGPExp_1,median,32,100,10000
studentized,0.75,0.693,DGPExp_1,median,32,100,10000
wilcoxon,0.75,0.9392,DGPExp_1,median,32,100,10000
ci_quant_param,0.75,0.7481,DGPExp_1,median,32,100,10000
ci_quant_nonparam,0.75,0.8096,DGPExp_1,median,32,100,10000
maritz-jarrett,0.75,0.75,DGPExp_1,median,32,100,10000
percentile,0.95,0.9461,DGPExp_1,median,32,100,10000
basic,0.95,0.8497,DGPExp_1,median,32,100,10000
bca,0.95,0.9257,DGPExp_1,median,32,100,10000
bc,0.95,0.9257,DGPExp_1,median,32,100,10000
standard,0.95,0.9282,DGPExp_1,median,32,100,10000
smoothed,0.95,0.9509,DGPExp_1,median,32,100,10000
double,0.95,0.9466,DGPExp_1,median,32,100,10000
studentized,0.95,0.8834,DGPExp_1,median,32,100,10000
wilcoxon,0.95,0.9927,DGPExp_1,median,32,100,10000
ci_quant_param,0.95,0.946,DGPExp_1,median,32,100,10000
ci_quant_nonparam,0.95,0.9757,DGPExp_1,median,32,100,10000
maritz-jarrett,0.95,0.9327,DGPExp_1,median,32,100,10000
percentile,0.975,0.9733,DGPExp_1,median,32,100,10000
basic,0.975,0.8794,DGPExp_1,median,32,100,10000
bca,0.975,0.958,DGPExp_1,median,32,100,10000
bc,0.975,0.958,DGPExp_1,median,32,100,10000
standard,0.975,0.9567,DGPExp_1,median,32,100,10000
smoothed,0.975,0.9727,DGPExp_1,median,32,100,10000
double,0.975,0.9714,DGPExp_1,median,32,100,10000
studentized,0.975,0.9258,DGPExp_1,median,32,100,10000
wilcoxon,0.975,0.9973,DGPExp_1,median,32,100,10000
ci_quant_param,0.975,0.9693,DGPExp_1,median,32,100,10000
ci_quant_nonparam,0.975,0.9914,DGPExp_1,median,32,100,10000
maritz-jarrett,0.975,0.9603,DGPExp_1,median,32,100,10000
percentile,0.025,0.019,DGPExp_1,mean,32,1000,10000
basic,0.025,0.0095,DGPExp_1,mean,32,1000,10000
bca,0.025,0.031,DGPExp_1,mean,32,1000,10000
bc,0.025,0.0231,DGPExp_1,mean,32,1000,10000
standard,0.025,0.0139,DGPExp_1,mean,32,1000,10000
smoothed,0.025,0.0191,DGPExp_1,mean,32,1000,10000
double,0.025,0.0249,DGPExp_1,mean,32,1000,10000
studentized,0.025,0.0057,DGPExp_1,mean,32,1000,10000
wilcoxon,0.025,0.0019,DGPExp_1,mean,32,1000,10000
ttest,0.025,0.0108,DGPExp_1,mean,32,1000,10000
percentile,0.05,0.0377,DGPExp_1,mean,32,1000,10000
basic,0.05,0.0262,DGPExp_1,mean,32,1000,10000
bca,0.05,0.0556,DGPExp_1,mean,32,1000,10000
bc,0.05,0.0443,DGPExp_1,mean,32,1000,10000
standard,0.05,0.0317,DGPExp_1,mean,32,1000,10000
smoothed,0.05,0.0369,DGPExp_1,mean,32,1000,10000
double,0.05,0.0473,DGPExp_1,mean,32,1000,10000
studentized,0.05,0.021,DGPExp_1,mean,32,1000,10000
wilcoxon,0.05,0.0047,DGPExp_1,mean,32,1000,10000
ttest,0.05,0.0275,DGPExp_1,mean,32,1000,10000
percentile,0.25,0.2197,DGPExp_1,mean,32,1000,10000
basic,0.25,0.2363,DGPExp_1,mean,32,1000,10000
bca,0.25,0.2507,DGPExp_1,mean,32,1000,10000
bc,0.25,0.2448,DGPExp_1,mean,32,1000,10000
standard,0.25,0.2276,DGPExp_1,mean,32,1000,10000
smoothed,0.25,0.2198,DGPExp_1,mean,32,1000,10000
double,0.25,0.2458,DGPExp_1,mean,32,1000,10000
studentized,0.25,0.2263,DGPExp_1,mean,32,1000,10000
wilcoxon,0.25,0.0563,DGPExp_1,mean,32,1000,10000
ttest,0.25,0.2253,DGPExp_1,mean,32,1000,10000
percentile,0.75,0.6944,DGPExp_1,mean,32,1000,10000
basic,0.75,0.7075,DGPExp_1,mean,32,1000,10000
bca,0.75,0.7283,DGPExp_1,mean,32,1000,10000
bc,0.75,0.7193,DGPExp_1,mean,32,1000,10000
standard,0.75,0.7006,DGPExp_1,mean,32,1000,10000
smoothed,0.75,0.6959,DGPExp_1,mean,32,1000,10000
double,0.75,0.7367,DGPExp_1,mean,32,1000,10000
studentized,0.75,0.715,DGPExp_1,mean,32,1000,10000
wilcoxon,0.75,0.4016,DGPExp_1,mean,32,1000,10000
ttest,0.75,0.7041,DGPExp_1,mean,32,1000,10000
percentile,0.95,0.8994,DGPExp_1,mean,32,1000,10000
basic,0.95,0.8807,DGPExp_1,mean,32,1000,10000
bca,0.95,0.9246,DGPExp_1,mean,32,1000,10000
bc,0.95,0.9099,DGPExp_1,mean,32,1000,10000
standard,0.95,0.8902,DGPExp_1,mean,32,1000,10000
smoothed,0.95,0.8998,DGPExp_1,mean,32,1000,10000
double,0.95,0.9396,DGPExp_1,mean,32,1000,10000
studentized,0.95,0.8976,DGPExp_1,mean,32,1000,10000
wilcoxon,0.95,0.7416,DGPExp_1,mean,32,1000,10000
ttest,0.95,0.8969,DGPExp_1,mean,32,1000,10000
percentile,0.975,0.9338,DGPExp_1,mean,32,1000,10000
basic,0.975,0.9113,DGPExp_1,mean,32,1000,10000
bca,0.975,0.9529,DGPExp_1,mean,32,1000,10000
bc,0.975,0.9414,DGPExp_1,mean,32,1000,10000
standard,0.975,0.9254,DGPExp_1,mean,32,1000,10000
smoothed,0.975,0.9334,DGPExp_1,mean,32,1000,10000
double,0.975,0.9651,DGPExp_1,mean,32,1000,10000
studentized,0.975,0.9324,DGPExp_1,mean,32,1000,10000
wilcoxon,0.975,0.8309,DGPExp_1,mean,32,1000,10000
ttest,0.975,0.9318,DGPExp_1,mean,32,1000,10000
percentile,0.025,0.0036,DGPNorm_0_1,percentile_95,8,1000,10000
basic,0.025,0.333,DGPNorm_0_1,percentile_95,8,1000,10000
bca,0.025,0.0005,DGPNorm_0_1,percentile_95,8,1000,10000
bc,0.025,0.0,DGPNorm_0_1,percentile_95,8,1000,10000
standard,0.025,0.0118,DGPNorm_0_1,percentile_95,8,1000,10000
smoothed,0.025,0.0018,DGPNorm_0_1,percentile_95,8,1000,10000
double,0.025,0.333,DGPNorm_0_1,percentile_95,8,1000,10000
studentized,0.025,0.333,DGPNorm_0_1,percentile_95,8,1000,10000
ci_quant_param,0.025,0.0297,DGPNorm_0_1,percentile_95,8,1000,10000
ci_quant_nonparam,0.025,0.0566,DGPNorm_0_1,percentile_95,8,1000,10000
maritz-jarrett,0.025,0.0,DGPNorm_0_1,percentile_95,8,1000,10000
percentile,0.05,0.0056,DGPNorm_0_1,percentile_95,8,1000,10000
