dgp,statistic,n,B,repetitions,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009970664978027344,0.009973287582397461,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010973453521728516,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009977102279663086,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009485721588134766,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009965896606445312,0.009559869766235352,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009968280792236328,0.00953531265258789,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010535717010498047,,,,,,0.0009982585906982422
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009455680847167969,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973764419555664,,,,,,0.0009968280792236328
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009984970092773438,0.009973287582397461,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009975433349609375,0.009972095489501953,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009975433349609375,,,,,,0.0009968280792236328
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.014960289001464844,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008980751037597656,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973526000976562,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009977102279663086,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009989738464355469,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973764419555664,,,,,,0.000997304916381836
