CI,dgp,statistic,n,B,repetitions,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.2388052908624223,1.3583554739829196,,,,,,1.0493284313080173
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.1121066537822386,1.1128515684956461,,,,,,0.6390151468693166
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.8749948202885112,1.831602137138948,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.2927355176037703,1.4536622304217817,,,,,,1.313680137535762
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.8437866944354868,0.9173404551092256,,,,,,0.6630878432535303
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.664417759913817,1.7598923936029172,,,,,,1.1276378337268587
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.1870322826375017,2.2724595222485253,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.2946944797870343,2.551669355226368,,,,,,1.448851962695261
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.8337528930986688,1.8785522085803188,,,,,,2.3686721577313605
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.407372415837704,2.684071204988702,,,,,,4.140908368853971
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.0096634414831454,1.143369977230258,,,,,,1.0595697303330975
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.223321456464829,2.664527210899031,,,,,,0.7970853520958565
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.7559938373321787,0.8587061945861101,,,,,,1.052023282945781
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.398591541768207,1.4584958375820394,,,,,,1.7905052477595842
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.248387133357301,2.2113228302358845,,,,,,3.01019770233721
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.2693417370283664,1.1774522432607086,,,,,,3.3242833633492914
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4906551105566859,1.6901269779254218,,,,,,1.530783583675026
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.0756824795010447,2.186511135692675,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.6257160860310411,1.66980244472893,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.6975383227393366,0.7755537975163633,,,,,,1.1400715215825117
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.6773128500666556,0.7535621476643187,,,,,,0.38497789187280823
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.5400122012853048,1.7173012221210187,,,,,,2.0107884396374236
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7961976980633831,2.063706438130766,,,,,,6.158903009895613
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9652760103978275,1.7493274050830356,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.44729464777083655,0.5149731666206308,,,,,,0.5445701931706514
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7009012957728291,1.8714806765006649,,,,,,2.176780314111712
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7890990291657969,1.9753400317516623,,,,,,1.2560337428386235
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7834606943458913,1.8435684491626898,,,,,,10.08101870263782
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9401236849267336,2.120869919651535,,,,,,3.6593684304507486
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.016863713232076,3.2482674760694965,,,,,,3.9923110201854217
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.540090254587404,2.843805448834711,,,,,,4.046605156642749
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.615691961073161,1.847662978537071,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4063573739065682,1.6407374550264588,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.3458756297584538,1.4509482643107303,,,,,,2.0320080030330496
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.7444907693028533,3.204104615111133,,,,,,7.624867138283802
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.585891057583396,1.833397921811451,,,,,,0.9917083016232208
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.090423744475922,2.160107491581587,,,,,,8.646646001515819
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.58493055689579,1.6361343296958757,,,,,,8.532343936969255
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.6338678857251949,0.6751882756395968,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.6256179452912032,1.8869974377977317,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.4040452023162397,2.7686894852483963,,,,,,1.6618691969034844
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.0455496560581548,1.1917031620373368,,,,,,1.8709007486749445
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.900944907391595,2.188410247631943,,,,,,3.6651222377709263
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.064660023340573,1.243007598260326,,,,,,1.2180276733339093
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.966054254772491,2.0577662610580862,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.7526715246732582,0.751618796313213,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.8445752197061664,0.9190412016223801,,,,,,0.48460431399116655
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4717666745547362,1.7003736668218443,,,,,,2.8043027780647867
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9607769602383653,2.3100705249094875,,,,,,1.4697954900113666
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.2280298535961225,2.600959165122768,,,,,,1.9939744895997022
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.130720256317919,2.3682562984319517,,,,,,2.4692634521922825
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.034491697436596,3.2162825852603447,,,,,,3.6108170609419066
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.82587471878365,3.3494046103823614,,,,,,3.1589413806273123
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7714206748891779,1.975254585882301,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.453803612933066,3.673386968910026,,,,,,4.838816418117842
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.4273526256539557,2.192181556799598,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.0089564137469151,1.0905517171848698,,,,,,
